DEBUG   |151003 23:41:40|Closing SQL dump file.
DEBUG   |151003 23:41:43|Closing SQL dump file.
DEBUG   |151003 23:41:45|Closing SQL dump file.
DEBUG   |151003 23:41:48|Closing SQL dump file.
DEBUG   |151003 23:41:51|Closing SQL dump file.
DEBUG   |151003 23:41:56|Closing SQL dump file.
DEBUG   |151003 23:42:01|Closing SQL dump file.
DEBUG   |151003 23:42:03|Closing SQL dump file.
DEBUG   |151003 23:42:11|Closing SQL dump file.
DEBUG   |151003 23:42:18|Closing SQL dump file.
DEBUG   |151003 23:42:22|Closing SQL dump file.
DEBUG   |151003 23:42:24|Closing SQL dump file.
DEBUG   |151003 23:42:30|Closing SQL dump file.
DEBUG   |151003 23:42:32|Closing SQL dump file.
DEBUG   |151003 23:42:35|Closing SQL dump file.
DEBUG   |151003 23:42:38|Closing SQL dump file.
